county_name,state_name,Value
HENRY,INDIANA,2124.1
LINCOLN,IDAHO,2124.2
KENT,MARYLAND,2129.0
DODGE,WISCONSIN,2129.2
SOLANO,CALIFORNIA,2129.7
KENOSHA,WISCONSIN,2135.9
WESTMORELAND,VIRGINIA,2141.9
NORTHAMPTON,VIRGINIA,2144.5
MIDLAND,MICHIGAN,2145.9
SIMPSON,KENTUCKY,2146.0
ST CLAIR,MICHIGAN,2149.1
POWER,IDAHO,2161.9
AUGLAIZE,OHIO,2165.8
BENEWAH,IDAHO,2171.5
CLARK,OHIO,2172.2
RACINE,WISCONSIN,2172.4
GARFIELD,WASHINGTON,2175.1
IONIA,MICHIGAN,2175.4
TRIGG,KENTUCKY,2175.6
MADISON,INDIANA,2178.0
WHITLEY,INDIANA,2178.4
SHELBY,OHIO,2181.7
DARKE,OHIO,2184.0
NEZ PERCE,IDAHO,2186.3
DECATUR,INDIANA,2188.1
UNION,KENTUCKY,2189.5
SANDUSKY,OHIO,2200.1
WARREN,KENTUCKY,2201.4
ADAMS,INDIANA,2201.8
SOMERSET,MARYLAND,2206.3
KINGS,CALIFORNIA,2210.5
TODD,KENTUCKY,2213.4
TIPPECANOE,INDIANA,2215.2
BARTHOLOMEW,INDIANA,2227.0
LEWIS,IDAHO,2231.5
CHRISTIAN,KENTUCKY,2239.1
DANE,WISCONSIN,2239.3
INGHAM,MICHIGAN,2239.4
FAYETTE,OHIO,2241.4
SHELBY,INDIANA,2242.7
LUCAS,OHIO,2246.5
WABASH,INDIANA,2248.0
WOOD,OHIO,2248.5
CRAWFORD,OHIO,2252.0
CLINTON,MICHIGAN,2252.9
VAN WERT,OHIO,2253.0
HANCOCK,OHIO,2254.6
TIPTON,INDIANA,2254.6
ALLEN,OHIO,2256.5
LOGAN,KENTUCKY,2261.4
ARENAC,MICHIGAN,2270.4
ALLEN,INDIANA,2293.7
COLUSA,CALIFORNIA,2293.8
MONTGOMERY,INDIANA,2303.3
HANCOCK,INDIANA,2305.4
MERCED,CALIFORNIA,2311.7
MADISON,OHIO,2317.2
MONROE,MICHIGAN,2319.1
GRATIOT,MICHIGAN,2327.0
SAN JOAQUIN,CALIFORNIA,2329.9
FULTON,OHIO,2337.4
IDAHO,IDAHO,2352.9
HENRY,OHIO,2367.7
LENAWEE,MICHIGAN,2368.9
SAGINAW,MICHIGAN,2381.4
SUTTER,CALIFORNIA,2390.9
SANILAC,MICHIGAN,2403.6
BAY,MICHIGAN,2415.3
BOUNDARY,IDAHO,2422.3
TUSCOLA,MICHIGAN,2425.8
LATAH,IDAHO,2427.9
YOLO,CALIFORNIA,2489.3
WALLA WALLA,WASHINGTON,2526.1
COLUMBIA,WASHINGTON,2543.5
WASHINGTON,IDAHO,2572.5
WHITMAN,WASHINGTON,2579.3
HURON,MICHIGAN,2662.1
ELMORE,IDAHO,2737.5
GOODING,IDAHO,2784.8
MINIDOKA,IDAHO,2826.8
CASSIA,IDAHO,2966.6
PAYETTE,IDAHO,3199.9
OWYHEE,IDAHO,3204.8
ADA,IDAHO,3272.4
BINGHAM,IDAHO,3484.6
CANYON,IDAHO,3717.5
JEROME,IDAHO,3798.8
TWIN FALLS,IDAHO,3948.3
